Location,Poverty Level,TimeFrame,DataFormat,Data
ADAMS COUNTY 14,Eligible for Free Lunch,2000,Number,2845
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2001,Number,858
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2001,Number,4128
ADAMS COUNTY 14,Eligible for Free Lunch,2001,Number,3270
ADAMS COUNTY 14,Eligible for Free Lunch,2001,Percent,0.49643
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2001,Percent,0.62669
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2001,Percent,0.13026
ADAMS COUNTY 14,Eligible for Free Lunch,2002,Percent,0.5415
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2002,Percent,0.63765
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2002,Percent,0.09615
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2002,Number,644
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2002,Number,4271
ADAMS COUNTY 14,Eligible for Free Lunch,2002,Number,3627
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2003,Number,541
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2003,Number,4514
ADAMS COUNTY 14,Eligible for Free Lunch,2003,Number,3973
ADAMS COUNTY 14,Eligible for Free Lunch,2003,Percent,0.61
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2003,Percent,0.69
ADAMS COUNTY 14,Eligible for Free Lunch,2004,Percent,0.6089
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2003,Percent,0.08
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2004,Percent,0.7056
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2004,Percent,0.0967
ADAMS COUNTY 14,Eligible for Free Lunch,2004,Number,4042
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2004,Number,4684
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2004,Number,642
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2005,Number,4906
ADAMS COUNTY 14,Eligible for Free Lunch,2005,Number,4244
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2005,Percent,0.7143
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2005,Number,662
ADAMS COUNTY 14,Eligible for Free Lunch,2005,Percent,0.6179
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2005,Percent,0.0964
ADAMS COUNTY 14,Eligible for Free Lunch,2006,Percent,0.6319
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2006,Percent,0.7372
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2006,Percent,0.1053
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2006,Number,720
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2006,Number,5041
ADAMS COUNTY 14,Eligible for Free Lunch,2006,Number,4321
ADAMS COUNTY 14,Eligible for Free Lunch,2007,Number,4770
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2007,Number,5448
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2007,Number,678
ADAMS COUNTY 14,Eligible for Free Lunch,2007,Percent,0.71
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2007,Percent,0.81
ADAMS COUNTY 14,Eligible for Free Lunch,2008,Percent,0.6852
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2007,Percent,0.1
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2008,Percent,0.797
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2008,Percent,0.1118
ADAMS COUNTY 14,Eligible for Free Lunch,2008,Number,4836
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2008,Number,5625
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2008,Number,789
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2013,Number,717
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2013,Number,6196
ADAMS COUNTY 14,Eligible for Free Lunch,2013,Number,5479
ADAMS COUNTY 14,Eligible for Free Lunch,2013,Percent,0.72111
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2013,Percent,0.81548
ADAMS COUNTY 14,Eligible for Free Lunch,2009,Percent,0.7125
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2013,Percent,0.09437
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2009,Percent,0.8213
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2009,Percent,0.1089
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2009,Number,808
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2009,Number,6096
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2010,Number,696
ADAMS COUNTY 14,Eligible for Free Lunch,2009,Number,5288
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2010,Number,6330
ADAMS COUNTY 14,Eligible for Free Lunch,2010,Number,5634
ADAMS COUNTY 14,Eligible for Free Lunch,2010,Percent,0.746
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2010,Percent,0.839
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2010,Percent,0.092
ADAMS COUNTY 14,Eligible for Free Lunch,2011,Percent,0.7528
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2011,Percent,0.8421
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2011,Number,6165
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2011,Percent,0.0893
ADAMS COUNTY 14,Eligible for Free Lunch,2011,Number,5511
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2011,Number,654
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2012,Number,6158
ADAMS COUNTY 14,Eligible for Free Lunch,2012,Number,5486
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2012,Percent,0.82107
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2012,Number,672
ADAMS COUNTY 14,Eligible for Free Lunch,2012,Percent,0.73147
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2012,Percent,0.0896
ADAMS COUNTY 14,Eligible for Free Lunch,2014,Percent,0.65322
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2014,Percent,0.06883
ADAMS COUNTY 14,Eligible for Reduced Price Lunch,2014,Number,522
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2014,Percent,0.72205
ADAMS COUNTY 14,Eligible for Free or Reduced Lunch,2014,Number,5476
ADAMS COUNTY 14,Eligible for Free Lunch,2014,Number,4954
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2014,Number,25518
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2014,Number,28969
